"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Coca-Cola",1,"-","43146.35","-","AAA+","-",,
"Microsoft",2,"-","37073.51","-","AAA+","-",,
"Citi",3,"-","35147.91","-","AA+","-",,
"Wal-Mart",4,"-","34898.00","-","A","-",,
"IBM",5,"-","34074.04","-","AA-","-",,
"HSBC",6,"-","33494.71","-","AAA","-",,
"GE",7,"-","31849.56","-","AA+","-",,
"Bank of America",8,"-","31425.53","-","AA+","-",,
"Hewlett-Packard",9,"-","29445.00","-","AA+","-",,
"Marlboro",10,"-","26989.89","-","AA-","-",,
"Vodafone",11,"-","26752.23","-","AA","-",,
"Gillette",12,"-","26648.92","-","AAA+","-",,
"Intel",13,"-","25095.01","-","AA+","-",,
"L'Oreal",14,"-","25049.61","-","AA+","-",,
"Google",15,"-","24687.30","-","AAA+","-",,
"Toyota",16,"-","24534.39","-","AA-","-",,
"Nokia",17,"-","24280.34","-","AAA","-",,
"McDonald's",18,"-","24082.97","-","AAA+","-",,
"Pepsi",19,"-","23948.48","-","AA","-",,
"Dell",20,"-","23620.72","-","AAA","-",,
"Disney",21,"-","23144.93","-","AAA-","-",,
"Mercedes-Benz",22,"-","22551.04","-","AAA-","-",,
"Verizon",23,"-","19910.36","-","A+","-",,
"American Express",24,"-","18109.43","-","AAA-","-",,
"BMW",25,"-","17859.89","-","AAA+","-",,
"Nike",26,"-","17817.90","-","AAA+","-",,
"SANTANDER",27,"-","17063.23","-","AA-","-",,
"Cisco",28,"-","16782.10","-","AA","-",,
"TimeWarner",29,"-","16733.80","-","AA-","-",,
"Samsung",30,"-","16536.56","-","A+","-",,
"Budweiser",31,"-","16196.49","-","AAA-","-",,
"Tesco",32,"-","16136.47","-","AA+","-",,
"Shell",33,"-","15620.90","-","AAA-","-",,
"The Home Depot",34,"-","15359.52","-","A+","-",,
"UBS",35,"-","15137.22","-","AA-","-",,
"AIG",36,"-","14851.36","-","A-","-",,
"AXA",37,"-","14389.04","-","A-","-",,
"Wells Fargo",38,"-","14276.58","-","AA","-",,
"UPS",39,"-","14168.25","-","AA-","-",,
"Allianz",40,"-","13861.69","-","A+","-",,
"ExxonMobil",41,"-","13148.36","-","A+","-",,
"Generali",42,"-","12894.75","-","A","-",,
"Apple",43,"-","12808.91","-","AAA+","-",,
"News Corp",44,"-","12523.26","-","A-","-",,
"BP",45,"-","12375.79","-","AA+","-",,
"BNP Paribas",46,"-","12277.84","-","A","-",,
"Barclays",47,"-","12182.09","-","A","-",,
"CHASE",48,"-","12082.00","-","AA-","-",,
"Gucci",49,"-","11656.69","-","AAA+","-",,
"Credit Suisse",50,"-","11518.91","-","A-","-",,
"China Mobile",51,"-","11018.00","-","A+","-",,
"Cingular",52,"-","10851.00","-","A","-",,
"Target",53,"-","10840.95","-","AA-","-",,
"Honda",54,"-","10792.71","-","AA-","-",,
"Comcast",55,"-","10776.57","-","AA-","-",,
"Orange",56,"-","10721.00","-","AA-","-",,
"Sony",57,"-","10621.69","-","AAA+","-",,
"Ford",58,"-","10558.78","-","AA-","-",,
"Carrefour",59,"-","10511.94","-","A","-",,
"Siemens",60,"-","10363.11","-","AAA-","-",,
"Motorola",61,"-","10234.46","-","A+","-",,
"ING",62,"-","10178.04","-","BBB","-",,
"AT&T",63,"-","10022.64","-","A+","-",,
"Chevrolet",64,"-","9935.88","-","AA-","-",,
"Kraft",65,"-","9904.06","-","A-","-",,
"Kellogg's",66,"-","9846.77","-","AAA+","-",,
"Lowe's",67,"-","9655.99","-","AA-","-",,
"Avon",68,"-","9626.51","-","A+","-",,
"Auchan",69,"-","9487.10","-","A+","-",,
"ABN Amro",70,"-","9433.60","-","AA-","-",,
"WACHOVIA CORP",71,"-","9430.15","-","AA-","-",,
"FedEx",72,"-","9226.83","-","AA-","-",,
"Hitachi",73,"-","9171.07","-","A","-",,
"Telecom Italia",74,"-","9097.19","-","AA","-",,
"Nescafé",75,"-","9001.73","-","AA","-",,
"IKEA",76,"-","8917.29","-","AA-","-",,
"Merrill Lynch",77,"-","8834.67","-","A+","-",,
"Morgan Stanley",78,"-","8731.87","-","A","-",,
"Goldman Sachs",79,"-","8711.90","-","A+","-",,
"Walgreens",80,"-","8701.04","-","AA-","-",,
"Chrysler",81,"-","8688.59","-","AA","-",,
"T (Deutsche Telekom)",82,"-","8475.00","-","A+","-",,
"Oracle",83,"-","8386.64","-","AAA-","-",,
"Stella Artois",84,"-","8377.85","-","AA","-",,
"Heineken",85,"-","8311.97","-","AAA-","-",,
"Deutsche Bank",86,"-","8239.94","-","A-","-",,
"Canon",87,"-","8186.48","-","AA","-",,
"Philips",88,"-","8169.48","-","AA+","-",,
"Chevron",89,"-","8085.36","-","A+","-",,
"NTT DoCoMo",90,"-","8061.00","-","A","-",,
"Prudential (UK)",91,"-","7970.45","-","A","-",,
"Prudential (US)",92,"-","7947.60","-","AA-","-",,
"Gap",93,"-","7889.46","-","AA+","-",,
"Société Générale",94,"-","7856.09","-","A-","-",,
"PwC",95,"-","7850.24","-","AAA+","-",,
"VW (Volkswagen)",96,"-","7827.25","-","AA-","-",,
"Benson and Hedges",97,"-","7822.19","-","AA-","-",,
"BBVA",98,"-","7552.87","-","AA-","-",,
"Yahoo!",99,"-","7444.86","-","AA-","-",,
"Tata",100,"-","7385.93","-","AA-","-",,
"Nissan",101,"-","🔒","🔒","🔒","🔒",,
"CVS",102,"-","🔒","🔒","🔒","🔒",,
"SAP",103,"-","🔒","🔒","🔒","🔒",,
"Nintendo",104,"-","🔒","🔒","🔒","🔒",,
"GlaxoSmithKline",105,"-","🔒","🔒","🔒","🔒",,
"Ericsson",106,"-","🔒","🔒","🔒","🔒",,
"eBay",107,"-","🔒","🔒","🔒","🔒",,
"Boeing",108,"-","🔒","🔒","🔒","🔒",,
"3M",109,"-","🔒","🔒","🔒","🔒",,
"Fox",110,"-","🔒","🔒","🔒","🔒",,
"movistar",111,"-","🔒","🔒","🔒","🔒",,
"Sprint",112,"-","🔒","🔒","🔒","🔒",,
"JP MORGAN",113,"-","🔒","🔒","🔒","🔒",,
